title,description,idRelatedTo,nameUser,roleResponsible,timestamp,date
Receive,"Receive register request from Prince, 24 years old, from Turkey, the request will be analyzed soon enough.",32,Prince,Director,7,2022-12-14T05:00:07Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,32,Prince,Administration,7,2022-12-14T05:00:07Z
Receive,"Receive register request from Jayce, 26 years old, from Slovenia, the request will be analyzed soon enough.",87,Jayce,Director,10,2022-12-14T05:00:10Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,87,Jayce,Administration,12,2022-12-14T05:00:12Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",32,Prince,Teacher,12,2022-12-14T05:00:12Z
Receive,"Receive register request from Hayes, 23 years old, from United Kingdom, the request will be analyzed soon enough.",45,Hayes,Director,16,2022-12-14T05:00:16Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",45,Hayes,Administration,17,2022-12-14T05:00:17Z
Receive,"Receive register request from Lane, 19 years old, from Norway, the request will be analyzed soon enough.",41,Lane,Director,21,2022-12-14T05:00:21Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",41,Lane,Administration,22,2022-12-14T05:00:22Z
Receive,"Receive register request from Knox, 25 years old, from France, the request will be analyzed soon enough.",75,Knox,Director,25,2022-12-14T05:00:25Z
Refuse (eligibility),The university does not accept student from France due to previous bad experience with them.,75,Knox,Administration,26,2022-12-14T05:00:26Z
Receive,"Receive register request from George, 28 years old, from United Kingdom, the request will be analyzed soon enough.",1,George,Director,28,2022-12-14T05:00:28Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,1,George,Administration,29,2022-12-14T05:00:29Z
Receive,"Receive register request from Drew, 18 years old, from Slovenia, the request will be analyzed soon enough.",16,Drew,Director,32,2022-12-14T05:00:32Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,16,Drew,Administration,33,2022-12-14T05:00:33Z
Receive,"Receive register request from Sean, 16 years old, from Slovenia, the request will be analyzed soon enough.",94,Sean,Director,37,2022-12-14T05:00:37Z
Refuse (eligibility),The university does not accept student under 18 years old.,94,Sean,Administration,38,2022-12-14T05:00:38Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",87,Jayce,Teacher,38,2022-12-14T05:00:38Z
Receive,"Receive register request from Blake, 18 years old, from Czechia, the request will be analyzed soon enough.",73,Blake,Director,42,2022-12-14T05:00:42Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,73,Blake,Administration,43,2022-12-14T05:00:43Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",1,George,Teacher,44,2022-12-14T05:00:44Z
Receive,"Receive register request from Jace, 27 years old, from Norway, the request will be analyzed soon enough.",88,Jace,Director,48,2022-12-14T05:00:48Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,88,Jace,Administration,50,2022-12-14T05:00:50Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",16,Drew,Teacher,50,2022-12-14T05:00:50Z
Receive,"Receive register request from Tate, 21 years old, from Spain, the request will be analyzed soon enough.",55,Tate,Director,54,2022-12-14T05:00:54Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,55,Tate,Administration,55,2022-12-14T05:00:55Z
Receive,"Receive register request from Tate, 22 years old, from Portugal, the request will be analyzed soon enough.",8,Tate,Director,59,2022-12-14T05:00:59Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,8,Tate,Administration,60,2022-12-14T05:01:00Z
Receive,"Receive register request from Sean, 30 years old, from Denmark, the request will be analyzed soon enough.",99,Sean,Director,62,2022-12-14T05:01:02Z
Ask more info,Your register has been accepted by Administration team. Now you need to provide us more information (transcript of records and motivation letter). Please send us the document before the deadline.,99,Sean,Administration,63,2022-12-14T05:01:03Z
Receive,"Receive register request from Cruz, 16 years old, from Denmark, the request will be analyzed soon enough.",82,Cruz,Director,67,2022-12-14T05:01:07Z
Refuse (eligibility),The university does not accept student under 18 years old.,82,Cruz,Administration,68,2022-12-14T05:01:08Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",73,Blake,Teacher,68,2022-12-14T05:01:08Z
Receive,"Receive register request from Jay, 32 years old, from Albania, the request will be analyzed soon enough.",57,Jay,Director,72,2022-12-14T05:01:12Z
Ask register again,"The register you provided student is not filled correctly, please register again with correct information.",57,Jay,Administration,73,2022-12-14T05:01:13Z
Rank,"We are happy to announce you that you have been selected for ranking. Because we receive a lot of requests from students, we have to rank all students regarding to their grades. You will receive a mail telling you if you have been accepted by the ranking.",88,Jace,Teacher,75,2022-12-14T05:01:15Z
